pop_inicial tipo1_inicial tipo2_inicial n/2_100%_infectados tipo1_n/2_100%_infectados tipo2_n/2_100%_infectados curados_n/2_100%_infectados mortos_n/2_100%_infectados n/2+1_100%_infectados tipo1_n/2+1_100%_infectados tipo2_n/2+1_100%_infectados curados_n/2+1_100%_infectados mortos_n/2+1_100%_infectados n_100%_infectados tipo1_n_100%_infectados tipo2_n_100%_infectados curados_n_100%_infectados mortos_n_100%_infectados n/2_pico tipo1_n/2_pico tipo2_n/2_pico curados_n/2_pico mortos_n/2_pico n/2+1_pico tipo1_n/2+1_pico tipo2_n/2+1_pico curados_n/2+1_pico mortos_n/2+1_pico n_pico tipo1_n_pico tipo2_n_pico curados_n_pico mortos_n_pico n_total sadios_n_total curados_n_total mortos_n_total
1600 1 0 20 406 196 207 30 21 426 207 248 34 40 127 49 1321 103 12 177 114 12 10 13 212 117 23 13 24 448 224 397 50 50 0 1491 109
1600 1 0 20 420 186 209 24 21 443 195 250 27 40 109 62 1330 99 12 203 91 12 7 13 236 98 23 8 24 475 206 398 40 50 0 1498 102
1600 1 0 20 384 217 203 35 21 403 231 243 38 40 115 59 1322 104 12 199 92 11 11 13 225 108 20 12 24 439 237 387 56 50 0 1490 110
1600 1 0 20 376 222 208 33 21 400 227 248 40 40 118 52 1326 104 12 194 104 12 3 13 219 117 24 5 25 437 246 444 52 50 0 1491 109
1600 1 0 20 417 185 209 28 21 439 191 248 37 40 104 62 1315 119 12 195 98 13 7 13 225 106 25 9 24 454 218 393 54 50 0 1475 125
1600 1 0 20 420 185 205 29 21 436 199 247 33 40 123 50 1338 89 12 200 94 12 7 13 231 101 24 9 25 455 226 453 45 50 0 1503 97
1600 1 0 20 395 207 207 30 21 414 217 249 35 40 111 61 1316 112 12 201 93 12 7 13 223 109 24 9 24 435 244 392 48 50 0 1484 116
1600 1 0 20 388 218 202 31 21 414 223 241 37 40 109 64 1327 100 12 185 107 12 9 13 211 120 24 10 25 460 226 442 51 50 0 1496 104
1600 1 0 20 386 222 210 21 21 412 234 247 22 40 121 52 1339 88 12 186 111 12 4 13 218 119 23 5 24 438 243 400 38 50 0 1509 91
1600 1 0 20 405 205 207 22 21 422 217 251 25 40 105 69 1326 100 12 197 99 11 6 13 225 112 22 6 24 458 217 405 39 50 0 1489 111
1600 1 0 20 402 198 200 39 21 423 204 243 45 40 112 59 1298 131 12 199 89 12 13 13 227 100 22 16 25 449 221 444 65 50 0 1466 134
1600 1 0 20 403 199 206 31 21 426 204 249 36 40 109 63 1320 108 12 189 102 13 9 13 212 119 25 9 25 452 221 451 55 50 0 1489 111
1600 1 0 20 384 217 211 27 21 408 224 254 29 40 106 63 1332 99 12 204 92 13 4 13 232 104 25 4 24 444 228 406 41 50 0 1499 101
1600 1 0 20 378 218 212 31 21 403 225 254 33 40 111 68 1326 95 12 196 96 13 8 13 222 111 23 9 24 429 245 397 48 50 0 1500 100
1600 1 0 20 409 190 205 35 21 426 206 247 36 40 114 53 1319 114 12 203 91 13 6 13 223 107 25 10 24 467 213 391 48 50 0 1486 114
1600 1 0 20 408 193 209 29 21 430 201 249 35 40 118 55 1333 94 12 184 109 12 8 13 212 120 24 9 24 456 219 394 50 50 0 1500 100
1600 1 0 20 394 207 206 32 21 411 222 245 37 40 116 54 1326 104 12 205 85 13 10 13 231 100 24 10 25 439 237 444 59 49 0 1493 107
1600 1 0 20 413 189 205 32 21 437 196 248 34 40 116 55 1328 101 12 189 106 11 7 13 212 120 23 10 25 474 216 443 46 50 0 1493 107
1600 1 0 20 400 199 210 30 21 426 203 252 34 40 117 54 1338 91 12 210 87 12 4 13 232 104 24 5 25 448 234 446 51 50 0 1503 97
1600 1 0 20 404 201 207 27 21 419 217 250 29 40 114 62 1344 80 12 191 103 13 6 13 220 113 25 7 25 449 235 455 40 50 0 1514 86
1600 1 0 20 429 170 209 31 21 451 181 247 36 40 110 65 1315 110 12 206 88 12 7 13 232 102 24 7 24 463 213 395 48 50 0 1488 112
1600 1 0 20 411 192 203 33 21 434 200 244 37 40 109 67 1324 100 12 191 104 12 6 13 217 115 24 9 25 472 209 441 57 49 0 1495 105
1600 1 0 20 419 178 211 31 21 426 202 253 34 40 106 62 1331 101 12 206 88 13 6 13 232 101 25 7 24 452 221 395 51 50 0 1492 108
1600 1 0 20 405 196 209 29 21 428 205 251 31 40 113 60 1348 79 12 206 90 12 5 13 229 107 24 5 24 438 242 398 41 50 0 1516 84
1600 1 0 20 388 216 209 26 21 409 224 250 32 40 130 44 1327 99 12 201 92 13 7 13 227 106 25 7 24 437 238 398 46 50 0 1497 103
1600 1 0 20 396 204 208 31 21 417 209 251 38 40 114 56 1323 107 12 212 84 12 5 13 238 96 24 7 25 444 235 453 47 49 0 1488 112
1600 1 0 20 393 209 208 29 21 411 221 251 32 40 109 61 1329 101 12 188 105 13 7 13 217 115 24 9 24 433 242 399 45 50 0 1493 107
1600 1 0 20 391 208 211 29 21 410 220 252 33 40 108 65 1318 109 12 212 81 13 7 13 240 91 24 10 24 448 229 394 48 50 0 1485 115
1600 1 0 20 406 195 206 32 21 429 201 247 38 40 104 71 1321 104 12 190 102 13 8 13 221 111 24 9 24 466 208 393 52 50 0 1490 110
1600 1 0 20 401 202 207 29 21 417 219 248 31 40 127 46 1333 94 12 195 99 11 8 13 227 107 23 8 24 448 235 396 40 50 0 1503 97
1600 1 0 20 388 213 209 29 21 407 224 251 33 40 110 65 1331 94 12 200 95 12 6 13 224 112 22 7 24 462 212 395 50 50 0 1498 102
1600 1 0 20 390 212 203 34 21 406 226 243 40 40 109 58 1320 113 12 210 81 12 10 13 232 98 24 11 25 444 236 442 57 50 0 1481 119
1600 1 0 20 409 192 207 31 21 428 204 250 33 40 102 67 1322 109 12 201 91 12 9 13 224 106 24 11 25 445 229 454 51 50 0 1486 114
1600 1 0 20 389 212 209 29 21 409 225 250 31 40 110 61 1326 103 12 199 95 13 6 13 228 106 25 6 25 438 240 453 48 50 0 1492 108
1600 1 0 20 411 196 209 23 21 431 207 250 27 40 110 67 1338 85 12 192 100 13 8 13 215 118 23 9 24 472 204 398 45 50 0 1511 89
1600 1 0 20 405 197 216 21 21 421 212 257 25 40 110 63 1339 88 12 196 101 13 3 13 219 117 25 4 24 436 243 405 35 50 0 1505 95
1600 1 0 20 382 223 208 26 21 405 227 251 32 40 116 59 1331 94 12 208 84 12 9 13 226 106 23 10 24 439 234 400 46 50 0 1501 99
1600 1 0 20 423 181 204 31 21 433 203 245 34 40 114 61 1331 94 12 202 91 11 9 13 227 107 20 11 25 445 237 448 49 50 0 1505 95
1600 1 0 20 404 196 215 24 21 422 204 258 31 40 102 73 1332 93 12 207 91 13 2 13 235 104 24 2 24 442 230 402 45 50 0 1503 97
1600 1 0 20 405 194 209 31 21 426 208 249 32 40 124 51 1332 93 12 201 96 12 4 13 229 103 24 9 25 450 232 454 43 50 0 1504 96
1600 1 0 20 413 184 213 29 21 433 196 252 34 40 109 62 1321 108 12 206 93 13 1 13 238 99 25 3 24 449 224 400 46 50 0 1487 113
